Websites,Underground / Above-ground,Type of Platform,Comment,Stage 0: collecting websites potentially selling accounts,stage 1 filtering: sells accounts?,Stage 2 filtering: are there handles?,stage 3 filtering: can we monitor it automatically?,stage 4: additional measures for automation,stage 5: additional manual collection
cracked.io,Above-ground,Marketplace,,The Cynicism of Modern Cybercrime,Yes,No handle provided,,,Collected fine-grained data on accounts
hackforums.net,Above-ground,BlackHat Forum,Pre-screening done: sells accounts,Suggested by other researcher,Yes,No handle provided,,,Collected fine-grained data on accounts
swapd.co/,Above-ground,Marketplace,Questionable Website (Hard/Not relevant data),"Google search: ""social media accounts for sale""",Yes,No handle provided,,,Collected fine-grained data on accounts
accszone.com,Above-ground,Shop,Buying only on batch (Does not include any information about accounts),Advertised on blackhat public forum,Yes,No handle provided,,,
agedprofiles.com,Above-ground,Shop,No handle provided,Advertised on blackhat public forum,Yes,No handle provided,,,
bulkacc.com/,Above-ground,Shop,No handle provided,Advertised on blackhat public forum,Yes,No handle provided,,,
digitalchaining.mysellix.io,Above-ground,Shop,No handle provided,Advertised on blackhat public forum,Yes,No handle provided,,,
"discord.gg/PMJCYxCcCu
warlordyt.sellpass.io",Above-ground,Shop,"Sells youtube channels, no handle provided",Advertised on blackhat public forum,Yes,No handle provided,,,
famousinfluencer.com,Above-ground,Shop,,Advertised on blackhat public forum,Yes,No handle provided,,,
nloaccs.com/,Above-ground,Shop,,Advertised on blackhat public forum,Yes,No handle provided,,,
www.smmzone24.com,Above-ground,Shop,"Sells account, no detail given, unclear how to buy",Advertised on blackhat public forum,Yes,No handle provided,,,
acccluster.com/,Above-ground,Shop,Buying only on batch (Does not include any information about accounts),"Google search: ""social media accounts for sale""",Yes,No handle provided,,,
accsmaster.com/,Above-ground,Shop,Buying only on batch (Does not include any information about accounts),"Google search: ""social media accounts for sale""",Yes,No handle provided,,,
buyaccs.com,Above-ground,Shop,Buying only on batch (Does not include any information about accounts),Trafficking Fraudulent Accounts,Yes,No handle provided,,,
getbulkaccounts.com (bulkye.com),Above-ground,Shop,Buying only on batch (Does not include any information about accounts),Trafficking Fraudulent Accounts,Yes,No handle provided,,,
quickaccounts.bigcartel.com,Above-ground,Shop,Buying only on batch (Does not include any information about accounts),Trafficking Fraudulent Accounts,Yes,No handle provided,,,
ARES market,Underground,Marketplace,No handle provided,Found in Onion Directory for Mirrors,Yes,No handle provided,,,No account for sale at this time
Dark Matter,Underground,Marketplace,No handle provided,Found in Onion Directory for Mirrors,Yes,No handle provided,,,Collected fine-grained data on accounts
Nexus Market,Underground,Marketplace,No handle provided,Found in Onion Directory for Mirrors,Yes,No handle provided,,,Collected fine-grained data on accounts
Torzon Market,Underground,Marketplace,No handle provided,Found in Onion Directory for Mirrors,Yes,No handle provided,,,Collected fine-grained data on accounts
